origin,destination,operator,date,hour,month,day_of_week,scheduled_departure,mins_late,cancelled
London Euston,Manchester Piccadilly,Avanti West Coast,2024-05-20,8,5,Monday,0815,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-29,11,10,Tuesday,1100,12,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-04-11,17,4,Thursday,1745,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-12-23,11,12,Monday,1130,3,False
Birmingham New St,London Euston,Avanti West Coast,2024-02-17,9,2,Saturday,0930,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-10-01,6,10,Tuesday,0645,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-26,3,12,Thursday,0315,0,False
London Waterloo,Southampton Central,South Western Railway,2024-07-13,8,7,Saturday,0830,8,False
London Victoria,Gatwick Airport,Southern,2024-11-07,16,11,Thursday,1615,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-12-16,8,12,Monday,0800,4,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-17,3,5,Friday,0330,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-15,6,5,Wednesday,0630,14,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-22,23,4,Monday,2315,7,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-03-19,16,3,Tuesday,1645,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-05-08,22,5,Wednesday,2200,0,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-24,9,11,Sunday,0930,0,False
London Victoria,Gatwick Airport,Southern,2024-04-01,13,4,Monday,1300,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-03-19,9,3,Tuesday,0915,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-02,8,11,Saturday,0800,2,False
London Victoria,Gatwick Airport,Southern,2024-01-30,8,1,Tuesday,0800,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-05,6,3,Tuesday,0645,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-04-18,21,4,Thursday,2115,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-09-21,11,9,Saturday,1115,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-28,7,10,Monday,0700,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-18,3,6,Tuesday,0315,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-19,15,10,Saturday,1515,6,False
London Waterloo,Southampton Central,South Western Railway,2024-02-19,17,2,Monday,1730,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-01,10,2,Thursday,1030,2,False
London Waterloo,Southampton Central,South Western Railway,2024-10-01,11,10,Tuesday,1145,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-10-08,5,10,Tuesday,0500,0,False
London Waterloo,Southampton Central,South Western Railway,2024-07-27,12,7,Saturday,1215,3,False
London Kings Cross,Leeds,LNER,2024-01-02,23,1,Tuesday,2330,0,False
London Victoria,Gatwick Airport,Southern,2024-12-22,21,12,Sunday,2145,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-02-01,18,2,Thursday,1800,11,False
Edinburgh Waverley,Glasgow Central,LNER,2024-01-30,21,1,Tuesday,2100,13,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-07-25,6,7,Thursday,0615,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-12-02,15,12,Monday,1530,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-05-15,10,5,Wednesday,1030,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-22,16,8,Thursday,1600,4,False
London Victoria,Gatwick Airport,Southern,2024-06-27,19,6,Thursday,1915,2,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-09,23,11,Saturday,2300,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-05-15,6,5,Wednesday,0600,2,False
London Victoria,Gatwick Airport,Southern,2024-06-24,7,6,Monday,0730,0,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-11-20,11,11,Wednesday,1130,9,False
London Kings Cross,Leeds,LNER,2024-03-23,17,3,Saturday,1745,1,False
London Kings Cross,Leeds,LNER,2024-01-19,18,1,Friday,1815,4,False
Birmingham New St,London Euston,Avanti West Coast,2024-07-02,7,7,Tuesday,0715,1,False
Edinburgh Waverley,Glasgow Central,LNER,2024-11-13,18,11,Wednesday,1815,2,False
London Kings Cross,Leeds,LNER,2024-01-13,7,1,Saturday,0730,3,False
London Waterloo,Southampton Central,South Western Railway,2024-03-22,18,3,Friday,1800,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-04-12,18,4,Friday,1845,13,False
London Waterloo,Southampton Central,South Western Railway,2024-01-13,17,1,Saturday,1745,5,False
London Victoria,Gatwick Airport,Southern,2024-11-24,13,11,Sunday,1330,11,False
London Victoria,Gatwick Airport,Southern,2024-10-24,21,10,Thursday,2130,9,False
Birmingham New St,London Euston,Avanti West Coast,2024-08-11,16,8,Sunday,1600,3,False
London Victoria,Gatwick Airport,Southern,2024-12-28,11,12,Saturday,1115,10,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-05,19,12,Thursday,1930,0,False
Birmingham New St,London Euston,Avanti West Coast,2024-12-22,8,12,Sunday,0815,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-11-11,15,11,Monday,1545,0,True
London Victoria,Gatwick Airport,Southern,2024-08-08,18,8,Thursday,1830,1,False
London Waterloo,Southampton Central,South Western Railway,2024-08-30,18,8,Friday,1815,1,False
Birmingham New St,London Euston,Avanti West Coast,2024-04-30,17,4,Tuesday,1715,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-08-31,16,8,Saturday,1600,7,False
London Waterloo,Southampton Central,South Western Railway,2024-09-10,10,9,Tuesday,1015,0,True
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-22,7,4,Monday,0745,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-03-09,18,3,Saturday,1830,3,False
Edinburgh Waverley,Glasgow Central,LNER,2024-10-07,11,10,Monday,1115,0,False
London Victoria,Gatwick Airport,Southern,2024-11-22,8,11,Friday,0845,6,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-04-30,8,4,Tuesday,0830,0,False
London Kings Cross,Leeds,LNER,2024-07-15,17,7,Monday,1715,17,False
Edinburgh Waverley,Glasgow Central,LNER,2024-07-31,3,7,Wednesday,0345,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-01,0,9,Sunday,0030,0,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-10-06,18,10,Sunday,1815,0,False
London Paddington,Cardiff Central,Great Western Railway,2024-07-18,9,7,Thursday,0945,6,False
London Kings Cross,Leeds,LNER,2024-01-14,20,1,Sunday,2000,4,False
London Paddington,Cardiff Central,Great Western Railway,2024-01-26,8,1,Friday,0830,5,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-08-03,8,8,Saturday,0800,5,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-04-24,16,4,Wednesday,1600,0,False
London Waterloo,Southampton Central,South Western Railway,2024-11-14,7,11,Thursday,0715,1,False
London Waterloo,Southampton Central,South Western Railway,2024-12-24,8,12,Tuesday,0830,0,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-08,5,6,Saturday,0500,7,False
Manchester Piccadilly,Leeds,TransPennine Express,2024-04-11,4,4,Thursday,0415,3,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-06-26,14,6,Wednesday,1430,1,False
London Paddington,Bristol Temple Meads,Great Western Railway,2024-09-07,5,9,Saturday,0530,0,False
London Kings Cross,Leeds,LNER,2024-03-31,17,3,Sunday,1730,1,False
London Paddington,Cardiff Central,Great Western Railway,2024-08-11,18,8,Sunday,1830,1,False
London Euston,Manchester Piccadilly,Avanti West Coast,2024-08-18,8,8,Sunday,0845,5,False
